scopus_main_publisher	publisher_name
Societe Vaudoise des Sciences Springer Naturelles	Societe Vaudoise des Sciences Naturelles
Society of Bird Research and Springer Nature Conservation	Society of Bird Research and Nature Conservation
SPE	Society of Petroleum Engineers
Springer Nature Kenya: The East Africa Natural History Society	Nature Kenya: The East Africa Natural History Society
Stovak Academic Press Ltd.	Slovak Academic Press Ltd.
Survival revisit Institute, Kyoto University	Kyoto University
Sveuciliste Josipa Jurja Strossmayera u Osijeku	Sveuciliste Josipa Jurja Strossmayera u Osijeki
Symposium Journals Ltd.,	Symposium Journals
Taylor and Francis	Taylor & Francis
Taylor's University College	Taylor's University
Techniche Nuove SpA	Tecniche Nuove SpA
Teheran University of Medical Sciences	Tehran University of Medical Sciences
Telecommunication Society of Australia	Telecommunications Association
Telecommunications Association Inc.	Telecommunications Association
The Automotive Engineering Centre (AEC), Universiti Malaysia Pahang	Universiti Malaysia Pahang
The Center for the Study of Rationality and Beliefs, University of Bucharest	University of Bucharest
The International Society for the Study of Religion, Springer Nature & Culture	The International Society for the Study of Religion, Nature & Culture
The Korean Society of Wood Science and Technology, Seoul National University	Seoul National University
Thomas Telford Services Ltd	Thomas Telford Ltd.
Times Newspapers Ltd.	Times Newspapers Limited
Trans Tech Publications Ltd	Trans Tech Publications
Tsinghua University Press	Tsinghua University
U P MEdia Group, Inc.	UP Media Group, Inc.
U.S. Dept. of Agriculture, Chugach National Forest	US Dept. of Agriculture
U.S. Government Printing Office	U.S. Government Publishing Office
Univerisdad de Los Andes	Universidad de los Andes
Universidad de Navara	Universidad de Navarra
Universidade De Sao Paulo	Universidade de Sao Paulo
Universidade de Sao Paulo, Faculdade de Educacao	Universidade de Sao Paulo
Universidade de Sao Paulo, Faculdade de Filosofia	Universidade de Sao Paulo
Universidade de Sao Paulo, Faculdade de Saude Publica	Universidade de Sao Paulo
Universidade de Sao Paulo, Institudo de Estudos Avancados	Universidade de Sao Paulo
Universidade Federal da Parana	Universidade Federal do Parana
Universidade Federal Rural do Semi-Arid	Universidade Federal Rural do Semi-Arido
Universitat de Valencia	Universidad de Valencia
Universitat Politecnica de Valencia	Universidad Politecnica de Valencia
Universite de Caen, Centre de Recherches Archeologiques et Historiques Medievales	Universite de Caen
Universite de Caen, Laboratoire de Psychopedagogie	Universite de Caen
Universiteit Gent	Ghent University
University degli Studi di Milano	Universita degli Studi di Milano
University Hospital Ghent	Ghent University
University of Cambridge	Cambridge University Press
University of Gent	Ghent University
University of Illinois at Urbana-Champaign, College of Law	University of Illinois at Urbana-Champaign
University of Illinois at Urbana-Champaign, Department of Mathematics	University of Illinois at Urbana-Champaign
University of Ostrava Faculty of Medicine	Faculty of Medicine, University of Ostrava
University of Ostrava Faculty of Medicine	University of Ostrava
Univesidad de Granada	Universidad de Granada
Urban And Schwarzenberg	Urban Und Schwarzenberg
US Dept. of Agriculture, Bureau of Agricultural Economics	US Dept. of Agriculture
US Government Printing Office	U.S. Government Printing Office
US Government Printing Office	U.S. Government Publishing Office
V D E Verlag GmbH	VDE Verlag GmbH
V S - Verlag fur Sozialwissenschaften	VS Verlag fur Sozialwissenschaften
