scopus_id	active	open_access	main_publisher	source_type
12439	1	0	Springer nature	Journal
12440	1	0	Taylor & Francis	Journal
12441	1	0	World Scientific	Journal
12442	1	0	SAGE	Journal
12443	1	1	Springer nature	Journal
12444	1	0	Cambridge University Press	Journal
12445	1	0	Thieme	Journal
12446	0	0	Springer nature	Journal
12448	0	0	Deutscher Arzte-Verlag	Journal
12450	1	0	American Institute of Aeronautics and Astronautics	Trade Journal
12452	0	0	Carl Heymanns Verlag KG	Journal
12453	0	0	Akademiai Kiado	Journal
12454	0	0	Walter de Gruyter	Journal
12455	1	0	Elsevier	Journal
12456	1	0	Springer nature	Journal
12457	1	0	SAGE	Journal
12458	0	0	Urban und Vogel Medien und Medizin Verlagsgesellschaft mbH	Journal
12459	1	0	Oxford University Press	Journal
12460	1	0	Polska Akademia Nauk	Journal
12461	1	0	Oxford University Press	Journal
12462	0	0	Case Western Reserve University	Journal
12464	1	0	Springer nature	Journal
12465	1	1	Adam Mickiewicz University Press	Journal
12468	0	0	Hans Huber AG	Journal
12469	1	0	Elsevier	Journal
12470	0	0	Society of Automotive Engineers of China	Journal
12471	0	0	Wolters Kluwer Health	Journal
12472	1	0	Jixie Kexue Yanjiuyuan	Journal
12473	1	0	University of Occupational and Environmental Health	Journal
12474	1	0	Cairo University	Journal
12478	0	0	Turpion - Moscow Ltd.	Journal
12479	1	1	Taylor & Francis	Journal
12480	1	0	IOS Press	Journal
12481	1	0	Wiley-Blackwell	Journal
12482	1	0	Izdatel'stva Nauka	Journal
12484	1	0	Elsevier	Journal
12485	1	0	Springer nature	Journal
12486	0	0	Mary Ann Liebert	Journal
12487	1	0	American Society for Engineering Education	Journal
12489	1	0	Elsevier	Journal
12490	1	0	Elsevier	Journal
12491	1	0	Wiley-Blackwell	Journal
12492	1	0	Institute of Information Science	Journal
12493	1	0	Elsevier	Journal
12494	0	0	St. Johns University	Journal
12495	1	1	Elsevier	Journal
12496	0	0	Universidade Estadual de Maringa	Journal
12497	0	0	Elsevier	Journal
12498	1	0	Vydavatel'stvo Slovenkej Akademie Vied/Veda Publishing House of the Slovak Academy of Sciences	Journal
12499	1	0	Oxford University Press	Journal
12501	0	0	Verlag Wepf und Co.	Journal
12503	1	0	Elsevier	Journal
12504	0	0	Jiefang Dadao	Journal
12505	1	0	Taylor & Francis	Journal
12506	0	0	Elsevier	Journal
12507	1	1	Elsevier	Journal
12508	0	0	Springer nature	Journal
12509	1	0	IOS Press	Journal
12510	0	0	Societe Francaise du Vide	Journal
12511	1	0	Springer nature	Journal
12512	1	0	American Society of Civil Engineers	Journal
12513	1	0	Tianjin shi lao dong wei sheng yan jiu suo; Tianjin shi lao dong wei sheng huan jing yi xue hui	Journal
12514	0	0	Primedia Business Magazines & Media Inc.	Trade Journal
12515	1	0	Springer nature	Journal
12516	0	0	Advanstar Communications	Trade Journal
12517	1	0	Elsevier	Journal
12518	0	0	Institute of Physics Publishing	Journal
12519	1	0	Springer nature	Book Series
12520	1	0	Via Medica	Journal
12521	0	0	Oncology Nursing Society	Journal
12522	1	0	Elsevier	Book Series
12523	1	1	Springer nature	Journal
12524	1	0	Taylor & Francis	Journal
12525	0	0	Aple Editores SA	Journal
12528	1	0	Wiley-Blackwell	Journal
12530	1	0	Springer nature	Journal
12531	1	0	AlphaMed Press Inc	Journal
12537	0	0	SAGE	Journal
12538	1	0	Springer nature	Journal
12539	1	0	Springer nature	Journal
12541	1	0	Dokkyo University School of Medicine	Journal
12542	1	0	University of California Press	Journal
12545	1	0	Publicaciones Permanyer	Journal
12547	1	0	Wiley-Blackwell	Journal
12548	1	0	Science Press	Journal
12549	1	0	Wiley-Blackwell	Journal
12550	1	1	Springer nature	Journal
12551	1	0	Elsevier	Journal
12552	1	0	UBM Medica Healthcare Publications	Journal
12553	0	0	Tara Verlag AG	Journal
12554	1	0	Karger	Journal
12555	0	0	Scientific Communications International Ltd.	Journal
12556	1	1	Obstetrical & Gynaecological Society of Bangladesh	Journal
12558	0	0	Labor Relations Press	Journal
12559	0	0	Karger	Journal
12560	1	0	Wiley-Blackwell	Journal
12561	1	0	Taylor & Francis	Journal
12563	0	0	University of Akron	Journal
12566	0	0	Universidad de Los Andes	Journal
12567	0	0	"Universidad Nacional ""Campus Omar Dengo"""	Journal
12568	1	0	Demetrios A. Spandidos Ed. & Pub.	Journal
12569	0	0	Istituto Geografico Militar	Journal
12570	1	1	BELGEO	Journal
12571	1	0	Springer nature	Journal
12572	0	0	Institute of Nuclear Materials Management, Inc.	Journal
12573	1	0	Taylor & Francis	Journal
12574	1	0	Institute of Physics Publishing	Journal
12575	1	0	SAGE	Journal
12576	1	0	Springer nature	Journal
12577	0	0	Kyoto University	Journal
12578	1	0	Elsevier	Journal
12579	1	0	Japan Society of High Pressure Science and Technology	Journal
12581	0	0	Kobe University	Journal
12582	1	0	Walter de Gruyter	Journal
12584	1	0	Taylor & Francis	Journal
12585	1	0	Zhongguo Kexueyuan	Journal
12588	0	0	Second Foundation	Journal
12590	0	0	Universitaetsbuchhandlung Muehlau	Journal
12591	0	0	P. Keppler Verlag GmbH	Trade Journal
12593	1	0	Cognizant Communication Corporation	Journal
12595	1	0	Elsevier	Journal
12596	1	0	IOS Press	Journal
12597	1	0	National Association of Biology Teachers Inc.	Journal
12598	0	0	Elsevier	Journal
12599	1	0	Wiley-Blackwell	Journal
12600	1	0	Springer nature	Journal
12601	0	0	Leximed sc	Journal
12602	1	0	Wiley-Blackwell	Journal
12603	1	1	Armand Colin Editeur	Journal
12604	1	0	University of Chicago Press	Journal
12605	0	0	Karger	Journal
12607	1	0	Editions de l'Academie Republique Populaire	Journal
12609	1	0	Pacini Editore SpA	Journal
12611	1	0	Elsevier	Journal
12612	1	1	Universite Paul Valery Montpellier III	Journal
12613	0	0	Laaketieteellinen Aikakauskirja Duodecim	Journal
12615	0	0	Springer nature	Journal
12616	1	0	Editorial Universidad de Granada	Journal
12620	0	0	Wiley-Blackwell	Journal
12621	0	0	Royal Society of Medicine	Journal
12622	0	0	Albany Law School	Journal
12623	0	0	Rila Publications	Journal
12624	0	0	Springer nature	Journal
12625	0	0	Primed -X Press Publishing Ltd	Journal
12626	1	0	Nakladatelske Stredisko CLSJE Purkyne	Journal
12628	1	0	Elsevier	Journal
12629	0	0	Izdatel'stva Nauka	Journal
12630	0	0	Russkoe Geograficheskoe Obshchestvo	Journal
12633	1	0	Emerald	Journal
12634	1	0	Brill	Journal
12635	1	0	Kenya Medical Association	Journal
12636	1	0	Atomic Energy Society of Japan/Nihon Genshiroku Gakkai	Journal
12637	1	0	University of Winnipeg	Journal
12638	1	0	Yuzuncu Yyl University	Journal
12639	0	0	Gardner Publications, Inc.	Journal
12641	0	0	Alpe Editores	Journal
12642	1	0	Elsevier	Journal
12643	0	0	Progressive Conservation Association of Alberta	Journal
12644	1	0	S O G Canada Inc.	Journal
12645	1	0	Wolters Kluwer Health	Journal
12646	1	1	Frontiers Media S.A.	Journal
12647	1	0	Wiley-Blackwell	Journal
12648	1	0	Elsevier	Journal
12649	0	0	Parthenon Publishing Group	Journal
12650	1	1	UBM Medica Periodical Publication	Journal
12652	1	0	Wiley-Blackwell	Journal
12653	1	1	Springer nature	Journal
12654	0	0	Health for the Millions Trust	Journal
12655	1	0	Elsevier	Journal
12656	0	0	Thomas Telford Ltd.	Journal
12657	0	0	Karger	Journal
12658	1	0	Harbin Gongye Daxue/Harbin Institute of Technology	Journal
12659	0	0	Elsevier	Journal
12661	1	0	Wolters Kluwer Health	Journal
12662	0	0	George Warman Publications (Pty.) Ltd.	Journal
12663	1	0	Elsevier	Journal
12664	0	0	Society for the Investigation of Early Pregnancy	Journal
12665	0	0	Koninklijke Van Gorcum BV	Journal
12666	0	0	Wilmington Publishing	Trade Journal
12667	1	0	Science Press	Journal
12668	0	0	American Nuclear Society	Trade Journal
12669	1	0	National Conference of Bankruptcy Judges	Journal
12670	0	0	Vincentz Verlag	Trade Journal
12671	1	0	Taylor & Francis	Journal
12672	0	0	Springer nature	Journal
12674	1	0	EQES Inc.	Trade Journal
12675	1	0	Wiley-Blackwell	Journal
12676	1	0	Taylor & Francis	Journal
12677	1	0	American Nuclear Society	Journal
12679	1	0	Institute of Electrical and Electronics Engineers	Journal
12680	1	0	Vincentz Verlag	Trade Journal
12681	1	0	Elsevier	Journal
12683	1	0	University of Notre Dame, Law School	Journal
12684	0	0	Elsevier	Journal
12685	1	0	SAGE	Journal
12686	0	0	Turret RAI plc	Trade Journal
12687	1	0	Oxford University Press	Journal
12689	1	0	Elsevier	Journal
12690	1	1	University of Boras	Journal
12691	1	0	Wayne State University Press	Journal
12692	0	0	German Psychology Society	Journal
12693	1	0	American Psychological Association	Journal
12694	1	0	Taylor & Francis	Journal
12695	1	0	Springer nature	Journal
12697	1	0	Springer nature	Journal
12699	0	0	Rabbinical Council of America	Journal
12700	1	1	Taylor & Francis	Journal
12701	1	1	Institute of Nuclear Chemistry and Technology	Journal
12702	0	0	Krause & Pachernegg GmbH	Journal
12703	0	0	Sigma Theta Tau International Honor Society of Nursing	Journal
12704	0	0	Quadrant HealthCom	Journal
12705	1	0	Elsevier	Journal
12706	0	0	Business News Publishing Co.	Journal
12707	0	0	Cambridge University Press	Journal
12708	1	0	Karger	Journal
12709	1	1	American Library Association	Journal
12710	1	0	Springer nature	Journal
12711	1	0	Taylor & Francis	Journal
12712	0	0	Wolters Kluwer Health	Journal
12715	1	0	Wiley-Blackwell	Journal
12716	1	0	American Society for Nutritional Sciences	Journal
12717	1	0	Elsevier	Journal
12718	0	0	Taylor & Francis	Journal
12719	1	0	Elsevier	Journal
12720	1	0	Center for Academic Publications Japan	Journal
12721	1	0	Wiley-Blackwell	Journal
12722	1	1	Wolters Kluwer Health	Journal
