main_publisher_slug	n_journals	main_publisher	name_variants
american-association-of-colleges-of-pharmacy	1	American Association of Colleges of Pharmacy	1
american-association-of-critical-care-nurses	2	American Association of Critical Care Nurses	1
american-association-of-functional-orthodontists	1	American Association of Functional Orthodontists	1
american-association-of-gynecologic-laparoscopists	1	American Association of Gynecologic Laparoscopists	1
american-association-of-immunologists	1	American Association of Immunologists	1
american-association-of-industrial-nurses	1	American Association of Industrial Nurses	1
american-association-of-law-libraries	1	American Association of Law Libraries	1
american-association-of-marriage-and-family-counselors	1	American Association of Marriage and Family Counselors	1
american-association-of-museums	1	American Association of Museums	1
american-association-of-nephrology-nurses-and-technicians	1	American Association of Nephrology Nurses and Technicians	1
american-association-of-neurological-surgeons	4	American Association of Neurological Surgeons	1
american-association-of-neurosurgical-nurses	1	American Association of Neurosurgical Nurses	1
american-association-of-nurse-anesthetists-publishing	1	American Association of Nurse Anesthetists Publishing	1
american-association-of-petroleum-geologists	3	American Association of Petroleum Geologists	1
american-association-of-pharmaceutical-scientists	1	American Association of Pharmaceutical Scientists	1
american-association-of-physics-teachers	1	American Association of Physics Teachers	1
american-association-of-retired-persons	1	American Association of Retired Persons	1
american-association-of-school-librarians	1	American Association of School Librarians	1
american-association-of-swine-veterinarians	1	American Association of Swine Veterinarians	1
american-association-of-teachers-of-french	1	American Association of Teachers of French	1
american-association-of-teachers-of-slavic-and-east-european-languages	1	American Association of Teachers of Slavic and East European Languages	1
american-association-of-textile-chemists-and-colorists	4	American Association of Textile Chemists and Colorists	1
american-association-of-university-professors	1	American Association of University Professors	1
american-association-of-zoo-veterinarians	1	American Association of Zoo Veterinarians	1
american-association-on-intellectual-and-developmental-disabilities	2	American Association on Intellectual and Developmental Disabilities	1
american-association-on-mental-deficiency	3	American Association On Mental Deficiency	1
american-association-on-mental-retardation	2	American Association on Mental Retardation	1
american-astronomical-society	4	American Astronomical Society	1
american-bankers-association	1	American Bankers Association	1
american-bar-association	13	American Bar Association	1
american-board-of-family-medicine	1	American Board of Family Medicine	1
american-board-of-family-practice	1	American Board of Family Practice	1
american-bryological-lichenological-society	1	American Bryological & Lichenological Society	1
american-cancer-society-inc	1	American Cancer Society, Inc.	1
american-ceramic-society	1	American Ceramic Society	1
american-chemical-society	81	American Chemical Society	1
american-clinical-and-climatological-association	1	American Clinical And Climatological Association	1
american-college-health-association	2	American College Health Association	1
american-college-of-allergy-asthma-immunology	2	American College of Allergy, Asthma, & Immunology	1
american-college-of-chest-physicians	1	American College of Chest Physicians	1
american-college-of-dentists	1	American College of Dentists	1
american-college-of-emergency-physicians	1	American College of Emergency Physicians	1
american-college-of-forensic-psychiatry	2	American College of Forensic Psychiatry	1
american-college-of-gastroenterology	1	American College of Gastroenterology	1
american-college-of-health-care-administrators	1	American College of Health Care Administrators	1
american-college-of-healthcare-executives	1	American College of Healthcare Executives	1
american-college-of-medical-practice-executives	1	American College Of Medical Practice Executives	1
american-college-of-nurse-midwives	2	American College Of Nurse-Midwives	1
american-college-of-nursing-home-administrators	1	American College of Nursing Home Administrators	1
american-college-of-obstetricians-and-gynecologists	2	American College of Obstetricians and Gynecologists	1
american-college-of-physician-executives	1	American College of Physician Executives	1
american-college-of-physicians	5	American College of Physicians	1
american-college-of-sports-medicine	1	American College Of Sports Medicine	1
american-college-of-surgeons	3	American College of Surgeons	1
american-communication-association	1	American Communication Association	1
american-concrete-institute	4	American Concrete Institute	1
american-conference-of-governmental-industrial-hygienists	1	American Conference of Governmental Industrial Hygienists	1
american-congress-of-physical-medicine	1	American Congress of Physical Medicine	1
american-congress-on-surveying-and-mapping	6	American Congress on Surveying and Mapping	1
american-corrective-therapy-association	1	American Corrective Therapy Association	1
american-councils-for-international-education	1	American Councils for International Education	1
american-counseling-association	1	American Counseling Association	1
american-demographics	2	American Demographics	1
american-dental-assistants-association	1	American Dental Assistants Association	1
american-dental-association	4	American Dental Association	1
american-dental-hygienists-association	2	American Dental Hygienists Association	1
american-dental-society-of-anesthesiology	1	American Dental Society of Anesthesiology	1
american-diabetes-association	7	American Diabetes Association	1
american-economic-association	7	American Economic Association	1
american-electroplaters-and-surface-finishers-society-inc	1	American Electroplaters and Surface Finishers Society, Inc.	1
american-electroplaters-society	1	American Electroplaters' Society	1
american-entomological-society	2	American Entomological Society	1
american-epilepsy-society	1	American Epilepsy Society	1
american-eurasian-network-for-scientific-information-publications-aensi	3	American-Eurasian Network for Scientific Information Publications(AENSI)	1
american-fern-society-inc	1	American Fern Society, Inc.	1
american-filtration-and-separations-society	2	American Filtration and Separations Society	1
american-fisheries-society	2	American Fisheries Society	1
american-folklore-society	1	American Folklore Society	1
american-forest-paper-institute	1	American Forest & Paper Institute	1
american-forestry-association	1	American Forestry Association	1
american-foundation-for-the-blind	3	American Foundation for the Blind	1
american-foundry-society	2	American Foundry Society	1
american-gas-association	3	American Gas Association	1
american-geological-institute	2	American Geological Institute	1
american-geophysical-union	3	American Geophysical Union	1
american-governance-and-leadership-group	2	American Governance and Leadership Group	1
american-group-practice-assn	1	American Group Practice Assn.	1
american-health-care-association	2	American Health Care Association	1
american-health-consultant	1	American Health Consultant	1
american-health-consultants-inc	5	American Health Consultants, Inc.	1
american-health-consultants-media	1	American Health Consultants Media	1
american-health-information-management-association	2	American Health Information Management Association	1
