scopus_id	homepage
12387	http://journals.mup.man.ac.uk/cgi-bin/MUP?COMval=journal&key=IJMEE
12388	http://www.informaworld.com/openurl?genre=journal&issn=00411450
12389	http://journals.tubitak.gov.tr/physics/index.php
12390	http://www.utpjournals.com/cjwl/cjwl.html
12391	http://www.sciencedirect.com/science/journal/01695002
12392	http://www.liebertonline.com/LRB
12394	http://www.nature.com/nsmb/
12395	http://www.bellpub.com/pgg/index.html
12396	http://www.sciencedirect.com/science/journal/09638687
12397	http://journals.cambridge.org/action/displayJournal?jid=POL
12398	http://www.sciencedirect.com/science/journal/13837621
12400	http://www.blackwellpublishing.com/journal.asp?ref=0903-4641
12402	http://www.jstor.org/journals/02767783.html
12403	http://www.springerlink.com/openurl.asp?genre=journal&issn=1357-0560
12406	http://www.thieme.de/fz/notfall-hausarztmedizin
12408	http://www.springeronline.com/journal/10049/about
12409	http://www.springeronline.com/journal/11045/about
12412	http://content.wkhealth.com/linkback/openurl?issn=0882-7524
12414	http://www.univelt.com/Aasweb.html#SCIENCE_AND_TECHNOLOGY_SERIES
12415	http://ejournals.worldscientific.com.sg/ijrqse/ijrqse.shtml
12416	http://www.medsocdel.org/
12419	http://www.informaworld.com/openurl?genre=journal&issn=00207721
12421	http://www.technikwissen.de/tue/
12424	http://www.informaworld.com/openurl?genre=journal&issn=17415977
12426	http://www.csfs.ca/csfs_journal.aspx
12427	http://content.wkhealth.com/linkback/openurl?issn=0960-8931
12428	http://www.sciencedirect.com/science/journal/16310691
12430	http://mcr.aacrjournals.org/misc/about.shtml
12434	http://www.sciencedirect.com/science/journal/10486666
12435	http://mct.aacrjournals.org/misc/about.shtml
12437	http://www.interscience.wiley.com/jpages/0899-1987/
12439	http://www.springeronline.com/journal/00132/about
12440	http://www.blackwellpublishing.com/journal.asp?ref=0033-0124
12441	http://www.springeronline.com/journal/11080/about
12442	http://phg.sagepub.com/
12443	http://www.springeronline.com/journal/11241/about
12444	http://www.aerosociety.com/cmspage.asp?cmsitemid=publications_journal
12445	http://www.thieme.de/fz/dmw
12446	http://www.sciencedirect.com/science/journal/04156412
12448	http://www.aerzteblatt.de/v4/home.asp
12450	http://www.aiaa.org/aerospace/
12453	http://www.akademiai.com/openurl.asp?genre=journal&issn=0236-5383
12454	http://versita.com/e
12455	http://www.sciencedirect.com/science/journal/15250016
12456	http://www.springeronline.com/journal/10441/about
12457	http://ppg.sagepub.com/
12458	http://www.springerlink.com/openurl.asp?genre=journal&issn=0941-2530
12459	http://jnci.oxfordjournals.org/
12460	http://www.igipz.pan.pl/wydaw/Przeglad_geograficzny.htm
12461	http://jncimono.oxfordjournals.org/
12464	http://www.nature.com/nrc/
12468	http://www.psycontent.com/openurl.asp?genre=journal&issn=1011-6877
12469	http://www.sciencedirect.com/science/journal/00305898
12470	http://www.sae.org/aeromag/
12471	http://content.wkhealth.com/linkback/openurl?issn=1052-9551
12472	http://jxqd.periodicals.net.cn/
12473	http://www.uoeh-u.ac.jp/kouza/journal/intro_e.html
12478	http://www.ufn.ru/en/
12479	http://www.informaworld.com/openurl?genre=journal&issn=09544828
12480	http://www.iospress.nl/html/10519815.php
12481	http://www.asee.org/about/publications/jee/
12482	http://www.maik.rssi.ru/cgi-bin/list.pl?page=uspfiz
12484	http://www.sciencedirect.com/science/journal/00115029
12485	http://www.springeronline.com/journal/10665/about
12486	http://www.liebertonline.com/dis
12487	http://www.asee.org/about/publications/divisions/index.cfm#Journal_of_Engineering_Technology
12489	http://www.sciencedirect.com/science/journal/0042207X
12490	http://www.sciencedirect.com/science/journal/08899746
12491	http://www.interscience.wiley.com/jpages/0947-076X/
12492	http://www.iis.sinica.edu.tw/page/jise/Introduction.html
12493	http://www.sciencedirect.com/science/journal/1146609X
12495	http://www.neoplasia.com
12496	http://www.eduem.uem.br/#
12497	http://www.neoplasia.com
12498	http://www.aepress.sk/neo/neohome.htm
12499	http://neuro-oncology.dukejournals.org/
12503	http://www.sciencedirect.com/science/journal/00344257
12504	http://rmcj.periodicals.net.cn/
12505	http://www.informaworld.com/openurl?genre=journal&issn=03670244
12506	http://www.ingentaconnect.com/content/els/10883371
12507	http://www.sciencedirect.com/science/journal/12709638
12508	http://diseasemanagement.adisonline.com/
12509	http://www.iospress.nl/html/10920617.php
12510	http://www.vide.org/Revue.php
12511	http://www.zeitschrift-abc.de/seite/p/titel/titelid/1006259273
12512	http://ascelibrary.org/journal/jmenea
12513	http://zhldwszyb.periodicals.net.cn/
12514	http://www.pffc-online.com/
12515	http://www.springeronline.com/journal/10946/about
12516	http://www.packaging-online.com/paperboardpackaging/
12517	http://www.sciencedirect.com/science/journal/01652125
12518	http://www.tandf.co.uk/journals/titles/17455030.asp
12519	http://www.springer.com/west/home/generic/search/results?SGWID=4-40109-69-173622675-0
12520	http://www.nowotwory.edu.pl/
12521	http://www.ons.org/publications/journals/news/
12522	http://www.sciencedirect.com/science/bookseries/00652881
12523	http://www.nature.com/onc/
